"post_code","grad"
"24430","Ada"
"22244","Adaševci"
"24425","Adorjan"
"36203","Adrani"
"25212","Aleksa Šantić"
"37230","Aleksandrovac (Kruševački)"
"12370","Aleksandrovac (Požarevački)"
"23217","Aleksandrovo"
"18220","Aleksinac"
"18226","Aleksinački Rudnik"
"26310","Alibunar"
"31307","Aljinovići"
"84320","Andrijevica"
"25260","Apatin"
"23207","Aradac"
"34300","Aranđelovac"
"31230","Arilje"
"22418","Ašanja"
"11423","Azanja"
"18315","Babin Kal"
"18330","Babušnica"
"21420","Bač"
"31258","Bačevci"
"37265","Bačina"
"22225","Bačinci"
"21400","Bačka Palanka"
"24300","Bačka Topola"
"25275","Bački Breg"
"25242","Bački Brestovac"
"25252","Bački Gračac"
"21234","Bački Jarak"
"25272","Bački Monoštor"
"21470","Bački Petrovac"
"24415","Bački Vinogradi"
"21465","Bačko Dobro Polje"
"21217","Bačko Gradište"
"21429","Bačko Novo Selo"
"21226","Bačko Petrovo Selo"
"34226","Badnjevac"
"15358","Badovinci"
"35204","Bagrdan"
"31250","Bajina Bašta"
"24210","Bajmok"
"24331","Bajša"
"36344","Baljevac (na lbru)"
"23251","Banatska Dubica"
"23315","Banatska Topola"
"26234","Banatski Brestovac"
"23242","Banatski Despotovac"
"23213","Banatski Dvor"
"26320","Banatski Karlovac"
"23332","Banatsko Aranđelovo"
"23216","Banatsko Karađorđevo"
"26314","Banatsko Novo Selo"
"23312","Banatsko Veliko Selo"
"23237","Banatsko Višnjićevo"
"11424","Banaćina"
"21312","Banoštor"
"22303","Banovci-Dunav"
"34304","Banja (kod Aranđelovca)"
"38332","Banja (kod Peći)"
"31337","Banja (kod Priboja)"
"38414","Banja (kod Prizrena)"
"15316","Banja Koviljača"
"14214","Banjani"
"38216","Banjska"
"85344","Baošić"
"85000","Bar-dostava"
"85001","Bar-pregradak"
"11460","Barajevo"
"26205","Baranda"
"38307","Barane"
"18426","Barbatovac"
"34205","Bare"
"26367","Barice"
"18432","Barlovo"
"11565","Baroševac"
"81252","Barutana"
"23316","Bašaid"
"81259","Bata"
"11273","Batajnica"
"34227","Batočina"
"22251","Batrovci"
"26222","Bavanište"
"21220","Bečej"
"85316","Bečići"
"11279","Bečmen"
"11308","Begaljica"
"21411","Begeč"
"23232","Begejci"
"26340","Bela Crkva"
"15313","Bela Crkva (kod Krupnja)"
"18310","Bela Palanka"
"37253","Bela Voda"
"31311","Bela Zemlja"
"14246","Belanovica"
"32259","Bele Vode"
"22306","Belegiš"
"11223","Beli Potok"
"19366","Beli Potok (kod Svrljiga)"
"23205","Belo Blato"
"18424","Beloljin"
"34312","Belosavci"
"18411","Belotinac"
"35263","Belušić"
"11461","Beljina"
"21300","Beočin"
"11000","Beograd"
"84300","Berane"
"22242","Berkasovo"
"32305","Beršići"
"22212","Bešenovo"
"22324","Beška"
"25270","Bezdan"
"35238","Bigrenica"
"85343","Bijela"
"84000","Bijelo Polje-dostava"
"22254","Bikić Do"
"24206","Bikovo"
"17522","Biljača"
"22253","Bingula"
"81214","Bioče"
"31241","Bioska"
"17546","Bistar"
"38360","Bistražin"
"31325","Bistrica (na Limu)"
"84206","Bistrica (kod Bijelog Polja)"
"84315","Biševo (kod Rožaja)"
"18420","Blace"
"37226","Blaževo"
"81455","Boan"
"35217","Bobovo"
"23274","Bočar"
"21427","Bođani"
"15350","Bogatić"
"81417","Bogetići"
"25245","Bogojevo"
"14225","Bogovada"
"19372","Bogovina"
"36341","Bogutovac"
"16205","Bojnik"
"23252","Boka"
"11307","Boleč"
"84217","Boljanići"
"19370","Boljevac"
"11275","Boljevci"
"32312","Boljkovci"
"19210","Bor"
"11211","Borča"
"17540","Bosilegrad"
"22217","Bosut"
"16232","Bošnjane (kod Leskovca)"
"37262","Bošnjane (kod Varvarina)"
"23243","Botoš"
"31322","Božetići"
"12313","Boževac"
"17537","Božica"
"19315","Braćevac"
"12222","Braničevo"
"14201","Brankovina"
"38256","Brasaljce"
"12225","Bratinac"
"32256","Bratljevo"
"32303","Brđani (kod G. Milanovca)"
"38157","Brezovica"
"31234","Brekovo"
"32213","Bresnica"
"22415","Brestač"
"16253","Brestovac"
"19216","Brestovačka Banja"
"15309","Brezjak"
"32307","Brezna"
"32253","Brezova"
"14244","Brežđe"
"14212","Brgule"
"38425","Brod (Prizrenski)"
"31305","Brodarevo"
"37220","Brus"
"19313","Brusnik"
"36346","Brvenik"
"19323","Brza Palanka"
"34228","Brzan"
"37225","Brzeće"
"19369","Bučje (kod Knjaževca)"
"21242","Budisava"
"38319","Budisavci"
"85310","Budva"
"22421","Buđanovci"
"17520","Bujanovac"
"21209","Bukovac"
"32251","Bukovica (kod Ivanjice)"
"85352","Buljarica"
"34242","Bumbarevo Brdo"
"35273","Bunar"
"12307","Burovac"
"35249","Busilovac"
"15224","Cerovac (Šabački)"
"81250","Cetinje"
"26213","Crepaja"
"36321","Crkvine"
"38326","Crmljane"
"23328","Crna Bara"
"15355","Crna Bara (kod Bogatića)"
"16215","Crna Trava"
"18304","Crnoklište"
"18313","Crvena Reka"
"25220","Crvenka"
"32000","Čačak"
"31310","Čajetina"
"22231","Čalma"
